CLIENT_CATEGORY;SEGMENT;Service;Channeltype;Source;football;DECLARED_FAULT;CREATE_DATE;CLOSETIME;all_num_of_repeat;num_of_repeat2;num_of_repeat5;num_of_repeat10;num_of_repeat30;num_of_repeat60;MITYPE;MIPRIORITY;MIIMPACT;TECHNICAL_DISTRICT;NumWFMforEI;Last_WFM_days_waiting;EIDayOfWeek;EIHourCreate
ФЛ;МР;8678;9633;8750;2;Интернет. Не работает интернет;1502085093;1502150400;3;0;0;0;1;1;1;0;0;48;1;1;2;8
;КОРП;8678;0;8675;4;Не работает INTERNET;1502085116;1502097296;0;0;0;0;0;0;0;0;0;0;0;0;2;8
ФЛ;МР;8678;9633;8750;3;Интернет. Не работает интернет;1502085247;1502117583;3;0;0;0;2;2;0;0;0;16;1;0;2;8
ФЛ;МР;8678;9633;8750;2;Интернет. Не работает интернет;1502085235;1502150400;4;0;0;0;1;1;1;0;0;48;1;1;2;8
ФЛ;МР;8678;9633;8750;3;Интернет. Ошибка 651, 678 или 815;1502085229;1502122906;7;0;0;0;1;1;0;0;0;8;1;1;2;8
ФЛ;МР;8678;9633;8750;2;Интернет. Не работает интернет;1502085326;1502150400;2;0;0;0;2;2;1;0;0;48;1;1;2;8
Выделенное обслуживание (пилот);МР;8680;9633;8750;3;Интернет. Не открываются страницы;1502085346;1502095825;3;0;0;0;1;2;0;0;0;51;1;1;2;8
ФЛ;МР;8680;9633;8750;2;Интернет. Ошибка 651, 678 или 815;1502085348;1502150400;2;0;0;0;1;1;1;0;0;48;1;2;2;8
ФЛ;МР;8679;9204;8750;3;Не работает ONT. Нет индикации питания.;1502085388;1502118568;1;0;0;0;1;1;0;0;0;30;1;0;2;8
ФЛ;МР;8678;9633;8750;3;Интернет. Не работает интернет;1502085414;1502095363;8;0;0;0;1;3;0;0;0;51;1;1;2;8
ФЛ;МР;8678;9633;8750;3;Интернет. Не работает интернет;1502085476;1502103417;3;0;0;0;1;2;0;0;0;48;1;3;2;8
ФЛ;МР;8678;9633;8750;2;Интернет. Не открываются страницы;1502085525;1502150400;4;0;0;0;1;2;1;0;0;49;1;1;2;8
ФЛ;МР;8678;9633;8750;2;Интернет. Не работает интернет;1502085513;1502150400;7;0;0;0;1;2;1;0;0;48;1;1;2;8
ФЛ;МР;8679;9633;8750;3;Интернет. Не работает интернет;1502085505;1502094978;15;0;0;0;1;2;0;0;0;15;1;0;2;8
ФЛ;МР;8679;9204;8750;6;Интернет. Не открываются все страницы;1502085634;1502150400;6;0;0;0;1;1;1;0;0;0;0;0;2;9
ФЛ;МР;8679;9204;8750;6;Интернет. Не открываются все страницы;1502085681;1502150400;1;0;0;0;1;1;1;0;0;0;0;0;2;9
ФЛ;МР;8678;9633;8750;2;Интернет. Не работает интернет;1502085719;1502150400;11;0;0;0;1;1;1;0;0;49;1;1;2;9
ФЛ;МР;8678;9633;8750;2;Интернет. Не работает интернет;1502085767;1502150400;9;0;0;0;1;3;1;0;0;48;1;1;2;9
ФЛ;МР;8679;9633;8750;6;IP TV. Другое;1502085754;1502150400;7;0;0;1;2;2;1;0;0;0;0;0;2;9
ФЛ;МР;8678;9633;8750;2;Интернет. Не работает интернет;1502085811;1502150400;9;0;0;0;1;4;1;0;0;48;1;1;2;9
Corporate;КОРП;9650;0;7470;6;SLX_Низкое качество связи через Интернет;1502085816;1502174202;0;0;0;0;0;0;0;0;0;0;0;0;2;9
SME;КОРП;8678;0;8675;3;Не работает INTERNET;1502085821;1502109083;0;0;0;0;0;0;0;0;0;0;0;0;2;9
ФЛ;МР;8678;9633;8750;3;Интернет. Не работает интернет;1502085979;1502095803;6;0;0;0;1;2;0;0;0;10;1;0;2;9
ФЛ;МР;8678;9204;8750;3;ТВ. Проблемы с пультом;1502085965;1502194229;2;0;0;0;1;2;0;0;0;31;1;1;2;9
ФЛ;МР;8679;9633;8750;2;Интернет. Не работает интернет;1502086010;1502150400;3;0;0;0;1;2;1;0;0;48;1;1;2;9
ФЛ;МР;8678;9204;8750;2;Интернет. Не открываются все страницы;1502086030;1502086773;3;0;0;0;1;2;0;0;0;0;0;0;2;9
ФЛ;МР;8679;9204;8750;5;Интернет. Другое;1502086023;1502150400;1;0;0;0;1;1;1;0;0;0;0;0;2;9
ФЛ;МР;8678;9204;8750;3;ТВ. Черный или синий экран;1502086070;1502109679;11;0;0;0;5;5;0;0;0;22;1;0;2;9
ФЛ;МР;8679;9204;8750;2;ТВ. Проблемы со звуком;1502086089;1502090819;1;0;0;0;1;1;0;0;0;0;0;0;2;9
ФЛ;МР;8679;9633;8750;4;Интернет. Не открываются страницы;1502086163;1502150400;8;1;1;1;2;2;1;0;0;48;1;1;2;9
ФЛ;МР;8678;9204;8750;2;ТВ. Не получен IP-адрес;1502086160;1502090462;1;0;0;0;1;1;0;0;0;0;0;0;2;9
ФЛ;МР;8680;9205;8750;5;Телефония. Зуммер занято;1502086135;1502150400;2;0;0;0;1;1;1;0;0;0;0;0;2;9
SME;КОРП;8680;0;8675;2;Снять переадресацию (авария устранена);1502086175;1502091535;0;0;0;0;0;0;0;0;0;0;0;0;2;9
ФЛ;МР;8680;9204;8750;3;Телефония. Тишина в трубке;1502086217;1502172130;2;0;0;0;1;1;0;0;0;38;1;1;2;9
ФЛ;МР;8679;9204;8750;6;Интернет. Не открываются все страницы;1502086198;1502150400;1;0;0;0;1;1;1;0;0;0;0;0;2;9
ФЛ;МР;8680;9204;8750;3;Телефония. Тишина в трубке;1502086300;1502120452;1;0;0;0;1;1;0;0;0;44;1;0;2;9
ФЛ;МР;8678;9204;8750;5;Интернет. Не открываются все страницы;1502086260;1502150400;3;0;0;0;1;2;1;0;0;0;0;0;2;9
ФЛ;МР;8678;9633;8750;3;Интернет. Ошибка 651, 678 или 815;1502086400;1502122408;4;0;0;0;1;1;0;0;0;19;1;1;2;9
SME GS;КОРП;8680;9205;8750;3;Телефония. Тишина в трубке, нет зуммера;1502086399;1502115608;2;0;0;0;1;1;0;0;0;39;1;0;2;9
ФЛ;МР;8678;9204;8750;2;Телефония. Тишина в трубке;1502086406;1502093025;3;0;0;0;3;3;0;0;0;0;0;0;2;9
ФЛ;МР;8678;9204;8750;6;Интернет. Не открываются все страницы;1502086377;1502150400;5;1;1;1;2;2;1;0;0;0;0;0;2;9
ФЛ;МР;8679;9204;8750;4;Интернет. Не работает интернет;1502086366;1502150400;1;0;0;0;1;1;1;0;0;0;0;0;2;9
ФЛ;МР;8679;9633;8750;2;Интернет. Ошибка 651, 678 или 815;1502086414;1502150400;1;0;0;0;1;1;1;0;0;48;1;1;2;9
ФЛ;МР;8678;9204;8750;3;ONT не на линии. Неисправна розетка;1502086417;1502101691;1;0;0;0;1;1;0;0;0;31;1;1;2;9
ФЛ;МР;8679;9633;8750;3;Интернет. Не открываются страницы;1502086433;1502132928;5;0;0;0;1;1;0;0;0;3;1;0;2;9
ФЛ;МР;8680;9204;8750;4;Доп. услуга. IP ОПС. Не удается поставить/снять с охраны.;1502086456;1502110967;2;0;0;0;1;1;0;0;0;60;1;0;2;9
SOHO;КОРП;8678;9204;8750;2;Интернет. Не работает интернет;1502086483;1502092152;1;0;0;0;1;1;0;0;0;0;0;0;2;9
ФЛ;МР;8679;9633;8750;3;Интернет. Не открываются страницы;1502086518;1502128463;11;0;0;0;1;3;0;0;0;51;1;1;2;9
